time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 29, 6)",27.72091833,85.294775,60,9.322436543578409,9.322436543578409,7137.2757594244085
"(0, 30, 5)",27.72091167,85.29482167,59,4.653148979890936,13.975585523469345,7133.323832822383
"(0, 31, 5)",27.72097333,85.29483667,60,7.013456648942943,20.989042172412287,7136.713687757051
"(0, 32, 5)",27.720985,85.29482667,60,1.6287340784878337,22.61777625090012,7138.308375840578
"(0, 33, 4)",27.72100167,85.29483667,59,2.0987609241349103,24.716537175035032,7138.784861987024
"(0, 34, 4)",27.72097167,85.29506167,60,22.397092157182296,47.11362933221733,7119.912813010686
"(0, 35, 3)",27.72099833,85.29500667,59,6.172277091869399,53.285906424086726,7125.939068247182
"(0, 36, 3)",27.72102167,85.295005,60,2.60049023784789,55.88639666193462,7127.7720432984615
"(0, 37, 2)",27.721005,85.29508167,59,7.771111934751018,63.65750859668564,7120.87373219486
"(0, 38, 2)",27.72054,85.294925,60,53.956405077692146,117.61391367437778,7098.562837256246
"(0, 39, 1)",27.72224167,85.29616,59,224.90171591856003,342.5156295929378,7133.787133346631
"(0, 40, 1)",27.72392,85.29713333,60,209.77689703344416,552.2925266263819,7192.510199448183
"(0, 41, 17)",27.72392667,85.29712333,76,1.2324426919807898,553.5249693183627,7193.732827155372
"(0, 42, 17)",27.72392,85.29711667,60,0.9898533150251556,554.5148226333878,7193.685218496969
"(0, 43, 16)",27.72393833,85.29713167,59,2.5167761278061107,557.0315987611939,7194.049240101268
"(0, 44, 16)",27.72393167,85.29712,60,1.3667037771577448,558.3983025383517,7194.355516448138
"(0, 45, 34)",27.72393,85.29716833,78,4.760729501543147,563.1590320398948,7190.818268713114
"(0, 46, 33)",27.723925,85.29711,59,5.768259899439842,568.9272919393346,7194.543468998312
"(0, 47, 29)",27.72389,85.29706,56,6.274336457025973,575.2016283963605,7195.35847190204
"(0, 48, 19)",27.72438167,85.29739167,50,63.67660274402589,638.8782311403864,7210.308692126153
"(0, 49, 19)",27.72496167,85.29799667,60,87.78099861332223,726.6592297537087,7213.829544968038
"(0, 50, 18)",27.72497667,85.29802667,59,3.3913664077716823,730.0505961614804,7212.942532944676
"(0, 51, 18)",27.72498333,85.29799333,60,3.364136891531725,733.4147330530121,7215.774538345111
"(0, 52, 17)",27.72504,85.298385,59,39.063173239019974,772.4779062920321,7193.249814612535
"(0, 53, 17)",27.72638833,85.30348333,60,523.736901210812,1296.214807502844,6964.9657771691
"(0, 54, 46)",27.727365,85.304845,89,172.50175764024087,1468.7165651430848,6962.487971791498
"(0, 55, 46)",27.730705,85.30534167,60,374.5944975029212,1843.3110626460061,7224.861050328335
"(0, 56, 45)",27.73498333,85.3056,59,476.4075311164115,2319.7185937624176,7595.833386250204
"(0, 57, 45)",27.73544333,85.306045,60,67.33822893082878,2387.0568226932464,7613.278780870218
"(0, 58, 45)",27.73543333,85.30604167,60,1.1592420853139072,2388.2160647785604,7612.542883237842
"(0, 59, 44)",27.735425,85.30638167,59,33.47537863974951,2421.69144341831,7593.028448437228
"(1, 0, 44)",27.73510667,85.30886,60,246.47083994919728,2668.1622833675074,7429.626571784269
"(1, 1, 43)",27.73508667,85.30896667,59,10.731380090582677,2678.89366345809,7422.105921799102
"(1, 2, 43)",27.73483333,85.31113,60,214.76981009409207,2893.663473552182,7285.799721949289
"(1, 3, 42)",27.73498667,85.314445,59,326.70676449563376,3220.3702380478157,7137.144427197099
"(1, 4, 42)",27.73511333,85.31703167,60,254.96841542206536,3475.338653469881,7030.217899612453
"(1, 5, 42)",27.73522167,85.318695,60,164.1468262726376,3639.4854797425187,6968.219695923112
"(1, 6, 41)",27.73575167,85.321155,59,249.18073698071288,3888.6662167232316,6920.298402640608
"(1, 7, 41)",27.7379,85.32481167,60,431.9496915187294,4320.615908241961,7006.900348846004
"(1, 8, 40)",27.73910833,85.32677167,59,235.0780046794133,4555.693912921374,7069.76242963979
"(1, 9, 40)",27.741205,85.33018,60,408.49444251347245,4964.188355434847,7195.598383880177
"(1, 10, 39)",27.742185,85.33246,59,249.44430071494423,5213.632656149791,7245.632208085039
"(1, 11, 39)",27.74206833,85.33312333,60,66.55704440360311,5280.189700553394,7218.175525212488
"(1, 12, 39)",27.74045333,85.336355,60,365.2388426955219,5645.428543248916,6977.433209236981
"(1, 14, 8)",27.74020167,85.33689333,89,59.91587729083652,5705.344420539753,6940.287686938979
"(1, 15, 8)",27.73905833,85.33907667,60,249.6677954304076,5955.0122159701605,6779.488729773184
"(1, 16, 7)",27.738975,85.33913167,59,10.731062927222059,5965.743278897383,6769.513216748926
"(1, 17, 7)",27.73838833,85.33994833,60,103.51493352679876,6069.258212424182,6693.298928436118
"(1, 18, 6)",27.73471,85.34249,59,479.4412818675173,6548.699494291699,6256.186738490021
"(1, 19, 6)",27.732305,85.34403,60,307.389762018899,6856.089256310598,5974.966721201598
"(1, 20, 6)",27.72938667,85.34585,60,370.66198565640434,7226.751241967002,5637.69581710562
