time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 1, 37)",27.735135,85.30731833,59,249.12997164564047,249.12997164564047,7515.003328677445
"(0, 2, 37)",27.734825,85.31062167,60,326.9360161391651,576.0659877848055,7311.058331045469
"(0, 3, 36)",27.735025,85.31535333,59,466.2195234263625,1042.2855112111681,7098.133799684258
"(0, 4, 36)",27.73508167,85.31855167,60,314.842532061293,1357.1280432724611,6960.362895601359
"(0, 5, 36)",27.735,85.31755167,60,98.83773188065868,1455.96577515312,6995.854220708992
"(0, 6, 35)",27.73492833,85.31753833,59,8.076765610213993,1464.0425407633338,6989.325711405888
"(0, 7, 35)",27.73491,85.3176,60,6.4026296940007335,1470.4451704573346,6984.776505791649
"(0, 8, 34)",27.734995,85.317495,59,14.004470271678208,1484.4496407290128,6997.865026622732
"(0, 9, 34)",27.73479833,85.31447333,60,298.195068792154,1782.6447095211668,7117.4659753062615
"(0, 10, 33)",27.73488667,85.31326333,59,119.49242884588458,1902.1371383670514,7184.405553183385
"(0, 11, 33)",27.73484167,85.310025,60,318.7550971521616,2220.892235519213,7343.52669618404
"(0, 13, 2)",27.73534667,85.30638667,89,362.4591496068517,2583.351385126065,7585.531415115165
"(0, 14, 2)",27.73514,85.30608333,60,37.67499622325512,2621.02638134932,7583.269746009651
"(0, 15, 1)",27.73506167,85.30587667,59,22.125850604019835,2643.15223195334,7587.562804719423
"(0, 16, 1)",27.73505167,85.30583167,60,4.566337810408015,2647.7185697637483,7589.152587010728
"(0, 17, 0)",27.73490333,85.305745,59,18.569738051321682,2666.28830781507,7580.403579668469
"(0, 18, 0)",27.73301833,85.30539167,60,212.46759584478232,2878.7559036598523,7429.107764846373
"(0, 19, 0)",27.72850167,85.305315,60,502.2863654648077,3381.04226912466,7032.287546836838
"(0, 19, 59)",27.72653833,85.30406833,59,250.43432245278402,3631.4765915774437,6940.420007008467
"(0, 20, 59)",27.72532333,85.299905,60,431.484055109726,4062.9606466871696,7112.320804353198
"(0, 21, 58)",27.724665,85.297415,59,255.78616875575827,4318.746815442928,7230.863248640022
"(0, 22, 58)",27.724605,85.29715833,60,26.129873115710136,4344.876688558638,7244.100782265782
"(0, 23, 57)",27.72324667,85.29442,59,308.96750670712777,4653.844195265766,7335.563855817996
"(0, 24, 57)",27.72143333,85.29068667,60,419.15969732613013,5073.003892591896,7481.775770415384
"(0, 25, 57)",27.719605,85.28699167,60,416.6720317860647,5489.675924377961,7644.181871501427
"(0, 26, 56)",27.71713667,85.28372833,59,422.5133589250775,5912.189283303038,7750.733865429783
"(0, 27, 56)",27.71571333,85.283585,60,158.8958148283725,6071.085098131411,7676.752526486678
"(0, 28, 55)",27.71562667,85.283545,59,10.409573698937683,6081.494671830348,7674.934992191428
"(0, 29, 55)",27.71399167,85.28331833,60,183.16782928257996,6264.662501112928,7598.619382831534
"(0, 30, 54)",27.71024,85.28288167,59,419.37541401660513,6684.037915129533,7430.361520211702
"(0, 31, 54)",27.70674,85.282435,60,391.65844642791683,7075.69636155745,7295.163383400349
"(0, 33, 23)",27.70271833,85.282035,89,448.91977110810126,7524.616132665551,7152.794160062835
"(0, 34, 23)",27.69916,85.2816,60,397.9791699769483,7922.5953026424995,7055.866186298776
"(0, 35, 23)",27.697405,85.28156667,60,195.17468324610897,8117.769985888608,6998.839331763704
"(0, 36, 22)",27.69585833,85.28152,59,172.04322703827148,8289.81321292688,6954.375792883432
"(0, 37, 22)",27.691575,85.28246167,60,485.2245502115217,8775.037763138402,6749.195219230752
"(0, 38, 21)",27.688465,85.28675167,59,545.8993148582281,9320.93707799663,6268.44088886435
"(0, 39, 21)",27.68641333,85.29239667,60,600.8187484103722,9921.755826407003,5683.210526706279
"(0, 40, 20)",27.68505833,85.29703667,59,481.0766038727633,10402.832430279766,5209.615166704941
"(0, 41, 20)",27.68484833,85.29856667,60,152.45017654867002,10555.282606828436,5057.1955292621105
"(0, 42, 19)",27.68487167,85.29868667,59,12.097457196036347,10567.380064024472,5045.831881581513
"(0, 43, 19)",27.68377167,85.30238667,60,384.3063551947715,10951.686419219242,4668.974500642383
"(0, 44, 19)",27.67835333,85.30234833,60,602.5037468570962,11554.190166076338,4640.097770880063
"(0, 45, 18)",27.67470667,85.30224833,59,405.6096427375235,11959.799808813861,4671.854555547091
"(0, 46, 18)",27.67027667,85.30539667,60,582.040224086148,12541.840032900009,4441.807136897969
"(0, 47, 17)",27.66883,85.30653667,59,196.16396198701,12738.003994887018,4370.174788475894
"(0, 48, 17)",27.66673167,85.30856667,60,307.25552979976476,13045.259524686782,4244.945604719577
"(0, 49, 17)",27.66594833,85.31122,60,275.4395092743537,13320.699033961137,4027.9322863260086
"(0, 50, 16)",27.66395,85.31529667,59,458.8710606530185,13779.570094614155,3747.7042439181364
"(0, 51, 16)",27.66160167,85.31802,60,374.325716242688,14153.895810856842,3638.9951439862716
"(0, 52, 45)",27.65803333,85.32268333,89,606.9376237003025,14760.833434557146,3504.692616571516
"(0, 53, 45)",27.65864333,85.32431667,60,174.58107675126794,14935.414511308414,3339.4165065623824
"(0, 54, 44)",27.659255,85.32538667,59,125.42507844994842,15060.839589758363,3215.70060211327
"(0, 55, 44)",27.65926833,85.32538667,60,1.4822283719534912,15062.321818130316,3214.699600227343
