time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(10, 34, 43)",27.66849,85.30949167,59,192.29062213667973,88989.90427593276,4099.742532278353
"(10, 35, 43)",27.66852833,85.30953167,60,5.803680139032188,88995.70795607178,4094.7703845435162
"(10, 36, 43)",27.66972167,85.31050333,60,163.59633726672226,89159.3042933385,3967.1689076370126
"(10, 37, 42)",27.67106667,85.31206,59,214.167075828559,89373.47136916706,3782.3619439517715
"(10, 38, 42)",27.67172667,85.31250167,60,85.3091684320778,89458.78053759914,3723.8463853745984
"(10, 39, 41)",27.67216167,85.312745,59,53.97989414708382,89512.76043174622,3690.4605903490447
"(10, 40, 41)",27.67295667,85.313325,60,105.2463882225525,89618.00681996878,3617.6184144311433
"(10, 41, 40)",27.67317167,85.31292,59,46.49905903741083,89664.50587900619,3652.695408465211
"(10, 42, 40)",27.67322333,85.31277167,60,15.695788532901098,89680.20166753909,3666.113220995197
"(10, 43, 40)",27.67321667,85.312775,60,0.8099136202260818,89681.01158115931,3665.9151675411395
"(10, 44, 39)",27.67320833,85.31276333,59,1.4767148938338983,89682.48829605315,3667.2047169118005
"(10, 45, 39)",27.67320333,85.31275333,60,1.1308620711930242,89683.61915812435,3668.2694012203438
"(10, 46, 38)",27.67321,85.312755,59,0.7596839737567405,89684.3788420981,3667.981752669769
"(10, 47, 38)",27.67321833,85.31278833,60,3.41038004758144,89687.78922214569,3664.5901813488977
"(10, 48, 37)",27.67322333,85.31276167,59,2.683578957706387,89690.47280110339,3667.0838324744636
"(10, 49, 37)",27.67321167,85.31275833,60,1.3376015278024505,89691.81040263119,3667.6271386871435
"(10, 50, 37)",27.67321333,85.31275667,60,0.2465629398536819,89692.05696557104,3667.757030401796
"(10, 51, 36)",27.67321667,85.31276667,59,1.0524601592075125,89693.10942573025,3666.7236567423797
"(10, 53, 6)",27.67321,85.31274,90,2.729053943824632,89695.83847967407,3669.4375922976474
"(10, 54, 5)",27.67321833,85.31270833,59,3.253358484994409,89699.09183815906,3672.3549850704267
"(11, 2, 6)",27.673235,85.31274833,481,4.353361780543423,89703.4451999396,3668.1598353534096
"(11, 3, 6)",27.67321833,85.31272833,60,2.704601345034095,89706.14980128463,3670.4137389802518
"(11, 4, 5)",27.67321667,85.31273833,59,1.001904248979135,89707.1517055336,3669.474306251401
"(11, 5, 5)",27.67322833,85.31271,60,3.076366451335849,89710.22807198494,3672.005395427123
"(11, 6, 4)",27.67321167,85.31268833,59,2.82587684841639,89713.05394883336,3674.421242511258
"(11, 7, 4)",27.673215,85.31271167,60,2.3280518815179776,89715.38200071488,3672.093305892083
"(11, 8, 4)",27.67321667,85.31271333,60,0.247396469845045,89715.62939718472,3671.900829206182
