time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(6, 6, 47)",27.733085,85.30524167,60,6.407800550303791,59083.713349915655,7443.753227675102
"(6, 7, 46)",27.73398667,85.30537833,59,101.15929208650277,59184.872642002156,7517.518025714829
"(6, 8, 46)",27.735435,85.30638167,60,188.91114146077277,59373.78378346293,7593.950646718965
"(6, 9, 46)",27.735245,85.307585,60,120.30067109525478,59494.084454558186,7510.759660837229
"(6, 10, 45)",27.73494167,85.30962167,59,203.2661566266954,59697.350611184884,7374.010797955025
"(6, 11, 45)",27.734875,85.31202667,60,236.81560886919834,59934.16622005408,7244.455244628718
"(6, 12, 44)",27.73502167,85.315245,59,317.1667668546436,60251.332986908725,7102.859816066825
"(6, 13, 44)",27.73514167,85.31788833,60,260.4974816972534,60511.83046860598,6995.1395724816375
"(6, 14, 43)",27.73531,85.31968833,59,178.14112640779916,60689.971595013776,6935.166100683442
"(6, 15, 43)",27.73537,85.32029,60,59.590643184411654,60749.56223819819,6916.404844777109
"(6, 16, 43)",27.73519833,85.31979833,60,52.01888248929956,60801.581120687486,6919.337491870652
"(6, 17, 42)",27.735225,85.319775,59,3.7505727653810554,60805.33169345287,6922.995286957087
"(6, 18, 42)",27.73523833,85.319805,60,3.3037486422137743,60808.63544209508,6923.092643981421
"(6, 19, 41)",27.735225,85.31979167,59,1.9794356653778071,60810.61487776046,6922.302540758586
"(6, 20, 41)",27.73521333,85.31975833,60,3.5285761173438335,60814.143453877805,6922.512255784625
"(6, 21, 40)",27.7352,85.31974333,59,2.091994379931545,60816.235448257736,6921.793052830299
"(6, 23, 10)",27.73521,85.31975167,90,1.3820905952495761,60817.61753885299,6922.453711547298
"(6, 24, 9)",27.73512,85.31904833,59,69.94205626132951,60887.55959511432,6942.967652582995
"(6, 25, 9)",27.73511667,85.319025,60,2.3257932077154875,60889.885388322036,6943.624576379051
"(6, 26, 8)",27.735095,85.31818167,59,83.0351628819778,60972.92055120401,6977.696837092386
"(6, 27, 8)",27.73496667,85.317525,60,66.18580715992307,61039.10635836393,6993.72342766921
"(6, 28, 8)",27.73493833,85.31747,60,6.26354186142845,61045.36990022536,6993.346151464168
"(6, 29, 7)",27.735015,85.31698667,59,48.32710959884901,61093.69700982421,7022.495433040909
"(6, 30, 7)",27.73491333,85.31493167,60,202.5682354221171,61296.26524524632,7106.961930324085
"(6, 31, 6)",27.73482667,85.31430333,59,62.58735516687253,61358.85260041319,7128.3357754971485
"(6, 32, 6)",27.73480167,85.31410333,60,19.879295851862,61378.73189626505,7135.491632617324
"(6, 33, 5)",27.73483167,85.31409333,59,3.478006219763602,61382.209902484814,7138.883611801159
"(6, 34, 5)",27.73482,85.31393,60,16.12720411486658,61398.33710659968,7145.609476247329
"(6, 35, 5)",27.73484667,85.31315167,60,76.66049388164163,61474.99760048132,7186.00681406865
"(6, 36, 4)",27.73482167,85.31018,59,292.48448543847894,61767.4820859198,7333.58049941072
"(6, 37, 4)",27.73512667,85.30809167,60,208.31211040561155,61975.79419632541,7472.460847858436
"(6, 38, 3)",27.73531833,85.30637167,59,170.617749569111,62146.41194589452,7583.745211083879
"(6, 39, 3)",27.73511167,85.30596833,60,45.867994980838496,62192.279940875356,7587.051361690576
"(6, 40, 2)",27.73479,85.30567167,59,46.17175881278053,62238.451699688136,7574.14202490411
"(6, 41, 2)",27.73464,85.30557667,60,19.12112820380452,62257.57282789194,7565.773674842449
"(6, 42, 31)",27.73195333,85.30543,89,299.09263356038167,62556.66546145232,7331.089937080781
"(6, 43, 31)",27.72872,85.30538833,60,359.5532842559632,62916.218745708284,7046.937090328443
"(6, 44, 31)",27.72716667,85.30489167,60,179.50684179645788,63095.72558750474,6942.489849615494
"(6, 45, 30)",27.726655,85.30414333,59,93.07193766057904,63188.79752516532,6945.602638308766
"(6, 46, 30)",27.726555,85.304015,60,16.828238296228413,63205.62576346155,6945.219531662139
"(6, 47, 29)",27.72549667,85.30069167,59,347.632655453253,63553.2584189148,7073.551149370418
"(6, 48, 29)",27.724595,85.29725167,60,353.12692682583986,63906.38534574064,7236.788487961426
"(6, 49, 28)",27.72347667,85.29497833,59,255.99583120024434,64162.38117694088,7312.399828630399
"(6, 50, 28)",27.72264333,85.29325667,60,193.14358506771924,64355.5247620086,7376.065002687573
"(6, 51, 28)",27.72108,85.290035,60,361.6347018307276,64717.15946383933,7506.842719382177
"(6, 52, 27)",27.72021167,85.28823167,59,202.06738450711637,64919.22684834644,7587.04984300791
"(6, 53, 27)",27.719305,85.286355,60,210.44759478489703,65129.67444313134,7675.085789667518
"(6, 54, 26)",27.71652333,85.283715,59,403.9838206975089,65533.65826382885,7714.538172757271
"(6, 55, 26)",27.71555833,85.2836,60,107.89858125984775,65641.55684508871,7666.302464289548
"(6, 56, 25)",27.71496833,85.28351167,59,66.17869498370547,65707.73554007242,7638.920159712632
"(6, 57, 25)",27.713385,85.28331833,60,177.0839709357156,65884.81951100813,7564.103200436679
"(6, 58, 25)",27.71008,85.28291,60,369.6909892249256,66254.51050023305,7419.544548348219
"(6, 59, 24)",27.70769667,85.282655,59,266.2004710239723,66520.71097125702,7321.624744424021
"(7, 0, 24)",27.70722667,85.282605,60,52.49290217907842,66573.2038734361,7303.2797937370815
"(7, 1, 23)",27.70526,85.28233833,59,220.25386709212393,66793.45774052822,7235.3141779831085
"(7, 2, 53)",27.700625,85.28179333,90,518.173808563143,67311.63154909135,7091.9118043107055
"(7, 3, 52)",27.69847667,85.28156333,59,239.9542099742591,67551.58575906561,7035.290132676669
"(7, 4, 52)",27.69697667,85.28166,60,167.06371192264828,67718.64947098825,6976.116527918761
"(7, 5, 51)",27.69592833,85.281625,59,116.62101018222285,67835.27048117048,6946.560010222796
"(7, 6, 51)",27.69454667,85.28168667,60,153.7535165053333,67989.0239976758,6900.15310063379
"(7, 7, 50)",27.68905667,85.28467333,59,677.5945650051893,68666.61856268099,6481.39421703968
"(7, 8, 50)",27.68879167,85.28512833,60,53.62194340109841,68720.24050608209,6432.14369080084
"(7, 9, 50)",27.6887,85.28537667,60,26.491472170241156,68746.73197825233,6406.301450198969
"(7, 10, 49)",27.688175,85.28906833,59,368.1451088200727,69114.8770870724,6038.191589009597
"(7, 11, 49)",27.685485,85.29398833,60,569.3419750890617,69684.21906216146,5513.420887208399
"(7, 12, 48)",27.68513667,85.29671833,59,271.58430688230135,69955.80336904376,5241.845308140679
"(7, 13, 48)",27.684955,85.29805833,60,133.4802257514505,70089.28359479521,5108.384928782007
"(7, 14, 47)",27.68491667,85.298005,59,6.763127183389574,70096.04672197861,5113.019681782754
"(7, 15, 47)",27.68491833,85.298615,60,60.06386175901761,70156.11058373762,5053.521713693016
"(7, 16, 47)",27.68486,85.29885333,60,24.346969529764355,70180.45755326739,5029.395807943874
"(7, 17, 46)",27.68463,85.30081167,59,194.51662692511994,70374.97418019251,4834.879874825475
"(7, 18, 46)",27.68346667,85.30254,60,213.76319925641297,70588.73737944892,4650.072684367638
"(7, 19, 45)",27.679665,85.3024,59,422.95113622328387,71011.68851567221,4635.759847197948
"(7, 20, 45)",27.67639833,85.30223667,60,363.593021592082,71375.2815372643,4658.461728389822
"(7, 22, 14)",27.67178167,85.30425,89,550.304618005689,71925.58615526998,4520.342660389339
"(7, 23, 14)",27.669285,85.30625333,60,340.57605583317275,72266.16221110315,4384.697960746513
"(7, 24, 13)",27.66919833,85.30633,59,12.24276074604517,72278.40497184919,4379.708520488861
"(7, 25, 13)",27.66774167,85.307415,60,194.04211906167626,72472.44709091086,4319.418253809566
"(7, 26, 13)",27.66731833,85.30777167,60,58.7338203400666,72531.18091125094,4299.490395119657
"(7, 27, 12)",27.66697333,85.30817667,59,55.339467798143836,72586.52037904908,4273.061868255035
"(7, 28, 12)",27.666725,85.30870833,60,59.19368304928373,72645.71406209836,4231.946729905863
"(7, 29, 11)",27.66661333,85.30905833,59,36.636872777383665,72682.35093487574,4203.255517152366
"(7, 30, 11)",27.66578667,85.31183667,60,288.64331564529186,72970.99425052103,3977.705286547875
"(7, 31, 11)",27.66529833,85.31340333,60,163.5649318006901,73134.55918232173,3855.1917043958406
"(7, 32, 10)",27.66279333,85.31673833,59,430.6521220651936,73565.21130438692,3681.168363062595
"(7, 33, 10)",27.66108833,85.318865,60,282.50865155840654,73847.71995594533,3599.3409248950743
"(7, 34, 9)",27.65858,85.32207333,59,421.4693021685933,74269.18925811393,3510.9099931880555
"(7, 35, 9)",27.65817333,85.32354167,60,151.52005886182604,74420.70931697576,3431.1043053470667
"(7, 36, 8)",27.6586,85.32422667,59,82.4766140897516,74503.18593106551,3349.2231387297443
"(7, 37, 8)",27.65919167,85.32519167,60,115.59089257239506,74618.7768236379,3234.628337448779
"(7, 38, 8)",27.65957167,85.32585667,60,77.94183617157739,74696.71865980948,3157.7871143051243
"(7, 39, 7)",27.66193167,85.32807667,59,341.56681863537835,75038.28547844486,2819.595533644378
"(7, 40, 7)",27.66434167,85.33006167,60,331.7079851515427,75369.9934635964,2496.3971145361456
"(7, 41, 36)",27.66631667,85.331675,89,271.0589122495833,75641.05237584599,2234.4332196123796
"(7, 42, 36)",27.66647,85.33183833,60,23.439564366414835,75664.4919402124,2211.242073047081
"(7, 43, 35)",27.66707,85.33233833,59,82.92038888833723,75747.41232910074,2131.3715517046357
"(7, 44, 35)",27.66768333,85.33313833,60,104.20237448166246,75851.61470358241,2027.3394693991888
"(7, 45, 34)",27.66974833,85.33700667,59,444.8019095636075,76296.41661314602,1586.1305223956883
"(7, 46, 34)",27.67147833,85.34003167,60,354.6078726108038,76651.02448575683,1234.4273686325473
"(7, 47, 33)",27.67265,85.34125333,59,177.33328548288486,76828.35777123972,1058.2678140248788
"(7, 48, 33)",27.674345,85.34290333,60,248.845415396777,77077.2031866365,813.4906575338922
"(7, 49, 33)",27.67608667,85.34499667,60,282.84143958908277,77360.04462622559,532.8853490318114
"(7, 50, 32)",27.677835,85.34769167,59,328.96987144331973,77689.0144976689,204.402378226395
"(7, 51, 32)",27.67882167,85.34940167,60,200.97368093399763,77889.9881786029,7.542040277637102
"(7, 52, 31)",27.67991333,85.349445,59,121.46201676658438,78011.45019536949,125.27149621080012
"(7, 53, 31)",27.680425,85.34946833,60,56.94146861965725,78068.39166398914,182.1471346451902
"(7, 54, 30)",27.68343833,85.34913,59,336.71910883990154,78405.11077282904,518.280324989516
"(7, 55, 30)",27.68344667,85.34913,60,0.9273656879126722,78406.03813851695,519.2057862292676
"(7, 56, 30)",27.68346833,85.349085,60,5.043248994580064,78411.08138751153,521.9103532252653
"(7, 57, 29)",27.68616333,85.349815,59,308.1703387022039,78719.25172621373,820.9339560607857
"(7, 58, 29)",27.68770667,85.35073333,60,193.9757631821758,78913.2274893959,999.6336736601908
"(7, 59, 28)",27.69083167,85.35254667,59,390.669814024078,79303.89730341997,1373.206238819664
"(8, 0, 28)",27.69396167,85.35436,60,391.16162840939944,79695.05893182938,1754.7772139209865
"(8, 1, 57)",27.69734,85.355205,89,384.7553029492246,80079.8142347786,2138.961274239555
"(8, 2, 57)",27.70025333,85.353975,60,345.8414854916361,80425.65572027024,2427.866734970486
"(8, 3, 56)",27.70125333,85.35317667,59,136.16774028659796,80561.82346055684,2524.706269611431
"(8, 4, 56)",27.70201833,85.352585,60,103.0967650625232,80664.92022561937,2601.3891207447728
"(8, 5, 56)",27.70600667,85.35118,60,464.5529683547565,81129.47319397412,3031.3921206156215
"(8, 6, 55)",27.70608667,85.349475,59,168.08568536655594,81297.55887934068,3035.5947180619914
"(8, 7, 55)",27.70591,85.34601667,60,341.02458906491563,81638.58346840559,3035.026829163243
"(8, 8, 54)",27.70631167,85.345335,59,80.61180450904794,81719.19527291463,3087.539407582485
"(8, 9, 54)",27.70652833,85.34504667,60,37.230312565701766,81756.42558548033,3115.2617690927786
"(8, 10, 53)",27.70675,85.34468167,59,43.5740659010178,81799.99965138135,3144.853834265835
"(8, 11, 53)",27.70697167,85.344515,60,29.610298520513187,81829.60994990186,3171.7075720436283
"(8, 12, 53)",27.70695333,85.34452167,60,2.142420591393156,81831.75237049325,3169.5915641419338
"(8, 13, 52)",27.70697333,85.344495,59,3.440802566065838,81835.19317305932,3172.193270198729
"(8, 14, 52)",27.70721,85.34422667,60,37.28737506197361,81872.4805481213,3202.3475896744358
"(8, 15, 51)",27.70833,85.34350833,59,143.2152567647699,82015.69580488607,3337.024781039939
"(8, 16, 51)",27.70918833,85.34386167,60,101.58291991403343,82117.2787248001,3425.2431350396073
"(8, 17, 50)",27.71045167,85.34420667,59,144.5242114237418,82261.80293622384,3558.8537787808496
"(8, 18, 50)",27.71138167,85.34469,60,113.8319843928258,82375.63492061668,3654.7660866354745
"(8, 19, 50)",27.71217167,85.34503833,60,94.29930840711214,82469.93422902378,3737.7403013976045
"(8, 20, 49)",27.71249667,85.34522167,59,40.39444696744605,82510.32867599123,3771.5908777151126
