time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(3, 35, 45)",27.66770833,85.30740833,54,2239.8032484430896,23627.691101826626,4321.1040000918265
"(3, 36, 45)",27.66707333,85.30799167,60,91.02659046175428,23718.71769228838,4287.008113261501
"(3, 37, 44)",27.66704667,85.30800167,59,3.1237564102248347,23721.841448698608,4286.972189231872
"(3, 38, 44)",27.66678167,85.30856167,60,62.527933935413145,23784.36938263402,4243.659716269821
"(3, 39, 44)",27.66642333,85.3097,60,118.97499778533653,23903.344380419356,4150.436181342435
"(3, 40, 43)",27.66561167,85.312425,59,283.13306263947203,24186.47744305883,3930.9997896403343
"(3, 41, 43)",27.66373333,85.31551667,60,369.22856714271046,24555.70601020154,3738.9901960712195
"(3, 43, 12)",27.66141333,85.31845,89,387.30681073845244,24943.01282093999,3614.1794103129123
"(3, 43, 42)",27.661,85.31897,30,68.81203434940218,25011.824855289393,3596.0812212505107
"(3, 45, 11)",27.65804,85.32275667,89,497.4092029034216,25509.234058192815,3498.7709316835276
"(3, 46, 11)",27.65803,85.32289333,60,13.505375218551642,25522.739433411367,3489.399436365829
"(3, 47, 10)",27.65876333,85.32451,59,178.8894362728681,25701.628869684235,3316.3456729153518
"(3, 48, 10)",27.65876167,85.32452333,60,1.325763602658723,25702.954633286892,3315.4968834411447
"(3, 49, 10)",27.65876167,85.32451667,60,0.6559331179136697,25703.610566404805,3315.9828550015554
"(3, 50, 9)",27.65873667,85.32451833,59,2.7846766563407965,25706.395243061146,3317.7293411229566
"(3, 51, 9)",27.65870167,85.32449667,60,4.438139635932297,25710.833382697077,3321.924879634871
"(3, 52, 8)",27.65871667,85.32449167,59,1.7391002753231488,25712.572482972402,3321.1682599277087
"(3, 53, 8)",27.65874,85.32450333,60,2.8369921531591538,25715.40947512556,3318.574678549849
"(3, 54, 7)",27.65877833,85.32456833,59,7.690767831910501,25723.100242957473,3310.9695856628614
"(3, 55, 7)",27.65879333,85.32457833,60,1.9369995613818216,25725.037242518854,3309.1194031888376
"(3, 56, 7)",27.65908667,85.32508167,60,59.34156041612949,25784.378802934985,3250.500501261228
"(3, 57, 6)",27.66125833,85.32759,59,345.4553090316708,26129.834111966655,2905.2742570073437
"(3, 58, 6)",27.66495667,85.33063,60,508.67646751138165,26638.510579478036,2409.6044589795715
"(3, 59, 5)",27.66552833,85.33107,59,76.93042212333955,26715.441001601375,2335.7713451378904
"(4, 0, 5)",27.66551833,85.33104,60,3.1567910204291514,26718.597792621804,2338.764923294503
"(4, 1, 4)",27.66548833,85.33103,59,3.4781832176164107,26722.07597583942,2341.634433581267
"(4, 2, 34)",27.66556,85.33109333,90,10.11974104679278,26732.195716886214,2331.766780693729
"(4, 3, 33)",27.66557333,85.331115,59,2.5983523386906517,26734.794069224903,2329.1758471233525
"(4, 4, 33)",27.66557333,85.331115,60,0.0,26734.794069224903,2329.1758471233525
"(4, 5, 33)",27.66557167,85.33110333,60,1.1640169838424061,26735.958086208746,2330.184084524598
"(4, 6, 32)",27.665575,85.331085,59,1.842765505158459,26737.800851713906,2331.351889315239
"(4, 7, 32)",27.66557667,85.33111,60,2.4690508270570937,26740.269902540964,2329.3236776444373
"(4, 8, 31)",27.6656,85.33110833,59,2.599385793834056,26742.869288334798,2327.8161900102496
"(4, 9, 31)",27.66619833,85.33160833,60,82.77128690492027,26825.64057523972,2247.7568810314638
"(4, 10, 30)",27.66718333,85.33246,59,137.95267864322136,26963.59325388294,2114.186988027743
"(4, 11, 30)",27.669085,85.33576,60,387.7219205399061,27351.315174422845,1727.9691006476316
