time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 52, 34)",27.72108333,85.29490833,60,0.49534901679701265,162.7027413580216,7139.447829806263
"(0, 53, 34)",27.72073667,85.29503,60,40.36445748155242,203.06719883957402,7105.080523892992
"(0, 54, 33)",27.72085167,85.29541833,59,40.30651295273578,243.3737117923098,7084.720161557438
"(0, 55, 33)",27.72085667,85.29544833,60,3.004856400709318,246.3785681930191,7082.86916864134
"(0, 56, 32)",27.72085,85.295445,59,0.8108726267576865,247.1894408197768,7082.625655476137
"(0, 57, 32)",27.72084167,85.295405,60,4.044782680584477,251.23422350036128,7084.972121022759
"(0, 58, 2)",27.72083333,85.29541333,30,1.2378662470393331,252.47208974740062,7083.744095239443
"(0, 58, 31)",27.72083167,85.29542167,29,0.8414226244836711,253.3135123718843,7083.005464880021
"(1, 0, 31)",27.72082667,85.295385,120,3.6520865388677572,256.965598910752,7085.3511966474125
"(1, 1, 0)",27.72083167,85.29540667,29,2.2042987178362377,259.1698976285883,7084.114910048599
"(1, 2, 0)",27.72084833,85.29543,60,2.9504868708554737,262.12038449944373,7083.612103235468
"(1, 2, 30)",27.72085333,85.29541333,30,1.7325008993144186,263.85288539875813,7085.211723101746
"(1, 4, 29)",27.72082833,85.295415,119,2.7847291317253586,266.6376145304835,7083.253727345675
"(1, 5, 58)",27.72087167,85.29546333,89,6.771699613630428,273.4093141441139,7082.861987746498
"(1, 6, 58)",27.72298333,85.29661833,60,260.8809049727667,534.2902191168806,7157.018737212285
"(1, 7, 57)",27.72505333,85.298555,59,298.8611403783682,833.1513594952488,7182.620153387769
"(1, 8, 57)",27.72686167,85.30427333,60,597.6827177760721,1430.834077271321,6955.032208150958
"(1, 9, 57)",27.73093,85.30535833,60,464.8117189408573,1895.645796212178,7243.8820036844
"(1, 10, 56)",27.734465,85.305435,59,393.1464907441381,2288.7922869563163,7557.800803210245
"(1, 11, 56)",27.73512167,85.30843333,60,303.9948915405217,2592.787178496838,7453.712703796337
"(1, 12, 55)",27.73481833,85.312115,59,363.91542189710174,2956.7026003939395,7234.6079340186825
"(1, 13, 55)",27.73502167,85.31581667,60,365.0184197396152,3321.7210201335547,7076.339433026019
"(1, 14, 55)",27.73524667,85.31930833,60,344.5571897339122,3666.278209867467,6944.695905305804
"(1, 15, 54)",27.73499,85.31751667,59,178.62917903002113,3844.907388897488,6996.40916673388
