time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(9, 33, 28)",27.734475,85.34254833,59,362.5769972179652,106061.39071639752,6229.584162467077
"(9, 34, 28)",27.73778,85.34044333,60,421.87158228701554,106483.26229868454,6619.613496126999
"(9, 35, 27)",27.73896833,85.33890833,59,200.7037597878318,106683.96605847238,6772.119857823145
"(9, 36, 27)",27.73905333,85.33873,60,19.93372741324002,106703.89978588562,6784.172612854873
"(9, 37, 27)",27.739785,85.33736333,60,157.1936737441131,106861.09345962973,6886.548064921026
"(9, 38, 26)",27.739775,85.33737,59,1.2912521779574349,106862.38471180768,6885.339299234952
"(9, 39, 26)",27.73973333,85.337365,60,4.659548620808837,106867.04426042849,6880.860935328919
"(9, 40, 25)",27.73982667,85.33739167,59,10.705677436003446,106877.7499378645,6890.6298202699145
"(9, 41, 25)",27.74050167,85.33608167,60,149.18044257766792,107026.93038044217,6987.739717389239
"(9, 42, 24)",27.74103667,85.33505333,59,117.3930660338282,107144.32344647599,7065.801593106973
"(9, 43, 24)",27.74203333,85.33193333,60,326.43862440960504,107470.7620708856,7241.407960067472
"(9, 44, 24)",27.74057833,85.32932167,60,303.70517485529064,107774.46724574089,7151.380642955809
"(9, 45, 23)",27.73837,85.32575833,59,428.1117387302297,108202.57898447113,7024.435079419029
"(9, 46, 53)",27.73623667,85.32223833,90,419.86296208983583,108622.44194656097,6927.732600420463
"(9, 47, 52)",27.735035,85.31807167,59,431.29916255577837,109053.74110911675,6976.501965325264
"(9, 48, 52)",27.73501833,85.31623333,60,180.9382970505393,109234.67940616728,7056.901052827328
"(9, 49, 51)",27.73498333,85.31457333,59,163.42302555656102,109398.10243172385,7130.724650355239
"(9, 50, 51)",27.73477667,85.31069333,60,382.5595938372159,109780.66202556106,7302.789197985372
"(9, 51, 50)",27.73484833,85.30992667,59,75.87413453987669,109856.53616010094,7349.277758339384
"(9, 52, 50)",27.73520167,85.30770167,60,222.48046558041958,110079.01662568135,7500.43102339742
"(9, 53, 50)",27.735335,85.30657,60,112.36072223688049,110191.37734791823,7574.378437508033
"(9, 54, 49)",27.73517167,85.30610833,59,48.932485413776305,110240.30983333201,7584.794246771224
"(9, 55, 49)",27.73504333,85.30595,60,21.13001028508806,110261.4398436171,7581.799871915766
"(9, 56, 48)",27.73492333,85.30579,59,20.640225103606113,110282.08006872071,7579.720130171767
"(9, 57, 48)",27.73482,85.30572167,60,13.313182109223032,110295.39325082993,7574.084737275109
"(9, 58, 47)",27.73478833,85.30567167,59,6.051234679377845,110301.44448550932,7573.989370483711
"(9, 59, 47)",27.73425833,85.305535,60,60.44887627222558,110361.89336178155,7533.333495734987
"(10, 0, 47)",27.73222833,85.30549,60,225.7691471268502,110587.6625089084,7352.287944378864
"(10, 1, 46)",27.72888667,85.30542333,59,371.6335746617067,110959.29608357011,7059.429451278855
"(10, 2, 46)",27.72690833,85.30447667,60,238.90077519119373,111198.19685876131,6946.238223223626
"(10, 3, 45)",27.726615,85.30404167,59,53.82424054679462,111252.0210993081,6948.6323151134575
"(10, 4, 45)",27.72589833,85.30249333,60,171.97695375002087,111423.99805305812,6987.773952112603
"(10, 6, 14)",27.72549,85.30076167,89,176.38791355369258,111600.38596661182,7068.329808203167
"(10, 7, 14)",27.72480333,85.29792,60,289.93607381030705,111890.32204042214,7206.624681724289
"(10, 8, 13)",27.72378167,85.29558833,59,256.0823624844697,112146.4044029066,7291.680697513761
"(10, 9, 13)",27.72307667,85.29419833,60,157.68483246205818,112304.08923536865,7339.0064826327825
"(10, 10, 13)",27.72234167,85.29256833,60,180.05888831155593,112484.1481236802,7405.068206317793
"(10, 11, 12)",27.72069333,85.28921,59,377.97945053214556,112862.12757421235,7543.696456038321
"(10, 12, 12)",27.71953833,85.28685,60,265.44039389626306,113127.56796810862,7651.017901318315
"(10, 13, 11)",27.718975,85.28571167,59,128.37040437228725,113255.9383724809,7705.119849785511
"(10, 14, 11)",27.71756833,85.28385,60,240.92989547339036,113496.8682679543,7767.268372210677
"(10, 15, 10)",27.71571333,85.28367833,59,206.95764496476397,113703.82591291906,7668.990236408821
