time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 1, 39)",27.72623333,85.30364,60,55.91103236288129,55.91103236288129,6941.844668680828
"(0, 2, 38)",27.72547167,85.30066667,59,304.6670517680328,360.57808413091414,7073.182143963372
"(0, 3, 38)",27.72453667,85.29719167,60,357.4918177988934,718.0699019298075,7236.425599321863
"(0, 4, 38)",27.72448667,85.297105,60,10.18264542522995,728.2525473550374,7238.593237222251
"(0, 5, 37)",27.723365,85.29479833,59,259.0471443699622,987.2996917249997,7316.9945140679965
"(0, 6, 37)",27.72238333,85.29275667,60,228.69384006202603,1215.9935317870256,7394.086843284326
"(0, 7, 36)",27.72064833,85.28917667,59,401.7403396049991,1617.7338713920249,7543.1894351856945
"(0, 8, 36)",27.719595,85.28696167,60,247.4975907633856,1865.2314621554106,7645.898904557298
"(0, 9, 35)",27.71696333,85.28372667,59,432.4733219676994,2297.70478412311,7740.287100238919
"(0, 10, 35)",27.715905,85.28366333,60,117.84598125354873,2415.550765376659,7681.663001260069
"(0, 11, 35)",27.71582,85.28363,60,10.00482301496268,2425.5555883916218,7679.360551179302
"(0, 12, 34)",27.71518,85.28355333,59,71.56383243043018,2497.119420822052,7647.85633923143
"(0, 13, 51)",27.71296,85.283245,77,248.71166346554165,2745.8310842875935,7546.425196285358
"(0, 14, 50)",27.7108,85.28298167,59,241.57587024991076,2987.406954537504,7451.207858751905
"(0, 15, 50)",27.70937333,85.282825,60,159.38641676956868,3146.793371307073,7390.466829723105
"(0, 16, 49)",27.707335,85.28265167,59,227.2933418633472,3374.08671317042,7304.3621128284985
"(0, 17, 49)",27.70570167,85.2824,60,183.300134597735,3557.386847768155,7249.890740483453
"(0, 18, 49)",27.70291,85.28208833,60,311.9322746110771,3869.319122379232,7155.876793761401
"(0, 19, 48)",27.699965,85.28176167,59,329.04441803,4198.363540409232,7070.077959072176
"(0, 20, 48)",27.69903667,85.28161,60,104.30000705699533,4302.663547466227,7050.5457006493925
"(0, 21, 47)",27.69699,85.281615,59,227.579852912425,4530.243400378652,6980.786368660577
"(0, 22, 47)",27.69579167,85.28157833,60,133.29711794662938,4663.5405183252815,6946.831515623095
"(0, 23, 46)",27.690415,85.28346,59,625.905457556539,5289.44597588182,6626.7975626650905
"(0, 25, 16)",27.68930333,85.28434,90,150.95472410130978,5440.40069998313,6518.562141759492
"(0, 26, 15)",27.68881833,85.28486833,59,74.92978884765593,5515.330488830786,6457.871134906325
"(0, 27, 15)",27.688255,85.28805333,60,319.7949646900627,5835.125453520848,6138.171461745264
"(0, 28, 14)",27.68540833,85.29423833,59,686.3446802699066,6521.4701337907545,5487.882305397361
"(0, 29, 14)",27.68502167,85.29752167,60,326.1391977948559,6847.609331585611,5161.743904368636
"(0, 30, 14)",27.68486,85.29853333,60,101.22208472195899,6948.831416307569,5060.621904386773
"(0, 31, 13)",27.68485667,85.29859667,59,6.247751145986037,6955.079167453555,5054.39142755516
"(0, 32, 13)",27.68477833,85.29916,60,56.14811662820299,7011.227284081758,4998.257105685583
"(0, 33, 12)",27.68418333,85.30218167,59,304.7968514338242,7316.024135515582,4694.640595392402
"(0, 34, 12)",27.67993,85.30242333,60,473.5469586464634,7789.5710941620455,4634.172014441781
"(0, 35, 11)",27.67662,85.30224,59,368.49767196960147,8158.068766131647,4656.789244681314
"(0, 36, 11)",27.67449333,85.302295,60,236.53692876006468,8394.605694891712,4669.650824754122
"(0, 37, 11)",27.66939167,85.30603167,60,676.1733139803149,9070.779008872027,4403.054441628368
"(0, 38, 10)",27.66745,85.30756333,59,263.3750646031734,9334.1540734752,4314.7852582005025
"(0, 39, 10)",27.66670667,85.308675,60,137.1760750613792,9471.33014853658,4235.706108537073
"(0, 40, 9)",27.66662667,85.30896833,59,30.22616348308657,9501.556312019666,4211.170391736576
"(0, 41, 9)",27.66548167,85.31274,60,392.6556591196884,9894.211971139353,3907.683547017737
"(0, 42, 8)",27.66287333,85.31658333,59,476.84983985856314,10371.061810997917,3690.265512349099
"(0, 43, 8)",27.66140833,85.31845167,60,245.75221863814895,10616.814029636065,3614.33769930688
"(0, 44, 8)",27.66137,85.31853,60,8.813496098270894,10625.627525734337,3610.106432092904
"(0, 45, 37)",27.65811667,85.32262167,89,541.5326314726265,11167.160157206963,3503.177210364007
"(0, 46, 37)",27.658855,85.32466667,60,217.4992381884215,11384.659395395385,3298.0680929883897
"(0, 47, 36)",27.65892,85.32492,59,25.975840768623865,11410.63523616401,3274.7554649374433
