time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(0, 11, 48)",27.67982333,85.34946833,52,0.0,0.0,115.24449535358269
"(0, 12, 47)",27.67982333,85.34946833,59,0.0,0.0,115.24449535358269
"(0, 13, 47)",27.67982333,85.34946833,60,0.0,0.0,115.24449535358269
"(0, 14, 46)",27.72121667,85.29485167,59,7077.982021323357,7077.982021323357,7153.413294674007
"(0, 15, 46)",27.72119667,85.29486833,60,2.7631375969661223,7080.745158920323,7150.714051216664
"(0, 16, 45)",27.72118667,85.29485667,59,1.5980268788504604,7082.343185799174,7150.844039816667
"(0, 17, 45)",27.72115833,85.294865,60,3.2561891509164242,7085.59937495009,7148.150524747769
"(0, 18, 43)",27.72111667,85.294865,58,4.632380644104785,7090.231755594195,7145.098853023146
"(0, 19, 43)",27.72115667,85.29485,60,4.686459323576788,7094.918214917772,7149.139566192293
"(0, 20, 43)",27.721215,85.29487,60,6.778182130517265,7101.696397048289,7151.9344598272455
"(0, 22, 12)",27.72102,85.29485667,89,21.722673942927315,7123.419070991216,7138.6417949648885
"(0, 23, 11)",27.72108,85.29486,59,6.67974262715354,7130.09881361837,7142.784615778789
"(0, 24, 11)",27.72111833,85.29487833,60,4.628269033558922,7134.727082651929,7144.233124287042
"(0, 25, 11)",27.7211,85.29490833,60,3.588075375573389,7138.315158027503,7140.668738373414
"(0, 26, 10)",27.72116833,85.29496,59,9.143093025790069,7147.458251053293,7141.852962335216
"(0, 27, 10)",27.72115833,85.29494333,60,1.9821370576855688,7149.440388110978,7142.35284896729
"(0, 28, 9)",27.72107,85.29488333,59,11.46074805729256,7160.901136168271,7140.3239408730415
"(0, 29, 9)",27.72099833,85.29490833,60,8.340621049521928,7169.241757217793,7133.226681605522
"(0, 30, 9)",27.72109333,85.29492,60,10.625791070592163,7179.867548288385,7139.315920760689
"(0, 31, 8)",27.72107333,85.29485833,59,6.464864539143148,7186.332412827528,7142.420207983978
"(0, 32, 8)",27.72119333,85.29485833,60,13.34339119723694,7199.675804024765,7151.209328939992
"(0, 33, 7)",27.721205,85.29486667,59,1.5355124282684132,7201.211316453034,7151.447619937723
"(0, 34, 7)",27.72121667,85.29488833,60,2.495892026162023,7203.707208479196,7150.700752872706
"(0, 35, 6)",27.72101667,85.29489333,59,22.244430561771406,7225.951639040967,7135.680271146778
"(0, 36, 6)",27.72102833,85.29498167,60,8.791637653257792,7234.743276694225,7129.987749297839
"(0, 37, 6)",27.72107167,85.294985,60,4.83032230255325,7239.573598996778,7132.916074975125
"(0, 38, 5)",27.720505,85.29511667,59,64.32994627381719,7303.903545270595,7081.74973106428
"(0, 39, 24)",27.67982333,85.34946833,79,7006.848407799036,14310.75195306963,115.24449535358269
"(0, 40, 17)",27.72493,85.29791,53,7135.899164165421,21446.65111723505,7217.322336400109
"(0, 41, 16)",27.726025,85.30272167,59,489.0053925155804,21935.65650975063,6983.503086871823
"(0, 42, 16)",27.72903,85.30525833,60,417.1179085674479,22352.77441831808,7081.982555650759
"(0, 43, 16)",27.73284,85.30533667,60,423.72283019295304,22776.497248511034,7416.193835038972
"(0, 44, 15)",27.734665,85.30554667,59,203.98055604359158,22980.477804554626,7569.742046572641
"(0, 45, 15)",27.73519333,85.30773833,60,223.5596274397451,23204.037431994373,7497.677522980363
"(0, 46, 14)",27.73476667,85.31149333,59,372.59871873685654,23576.63615073123,7260.981061226063
"(0, 47, 14)",27.735,85.31504667,60,350.68007635969843,23927.316227090927,7110.023230078022
"(0, 48, 13)",27.73514667,85.31852,59,342.23263883791185,24269.54886592884,6968.2258735875475
"(0, 49, 13)",27.735455,85.32030167,60,178.67117144523397,24448.22003737407,6924.527002473668
"(0, 50, 42)",27.73511,85.31926167,89,109.30899153799061,24557.52902891206,6932.930510906915
"(0, 51, 42)",27.73509667,85.31925833,60,1.5182419875709539,24559.04727089963,6931.732713668673
"(0, 52, 41)",27.73509,85.31926667,59,1.1062636443168297,24560.153534543948,6930.7105741000005
"(0, 53, 41)",27.73511667,85.319275,60,3.076804746732957,24563.23033929068,6933.0377731719545
"(0, 54, 41)",27.73508333,85.31924167,60,4.950166961613165,24568.180506252294,6931.096883035381
"(0, 55, 40)",27.73522167,85.31928667,59,16.00758020119122,24584.188086453487,6943.09534461874
"(0, 56, 40)",27.73522333,85.319285,60,0.2471547789721459,24584.43524123246,6943.332516966801
"(0, 57, 39)",27.735215,85.31933833,59,5.329813930206809,24589.765055162665,6940.250072848687
"(0, 58, 39)",27.73513833,85.319315,60,8.829110830961744,24598.594165993625,6933.526892793834
"(0, 59, 38)",27.73512167,85.319265,59,5.258118758754239,24603.85228475238,6933.962112328288
"(1, 0, 38)",27.73504333,85.31920167,60,10.711252125646403,24614.563536878024,6928.7727400903395
"(1, 1, 38)",27.735035,85.31919667,60,1.0488597055987494,24615.612396583623,6928.148267685736
"(1, 2, 37)",27.73501667,85.31922,59,3.0702585999830094,24618.682655183606,6925.320566520988
"(1, 3, 37)",27.73507167,85.319245,60,6.592121031323174,24625.27477621493,6929.785245511628
"(1, 4, 36)",27.735175,85.31916167,59,14.11652327361022,24639.39129948854,6943.684049404038
"(1, 5, 36)",27.7351,85.31919833,60,9.086658278326508,24648.477957766867,6934.60325975843
"(1, 6, 35)",27.73496833,85.31746667,59,171.05710676936388,24819.53506453623,6996.472010273048
"(1, 7, 35)",27.73498667,85.31651,60,94.17726313569878,24913.71232767193,7041.190431026102
"(1, 8, 34)",27.7348,85.31428333,59,220.12917667647696,25133.841504348406,7126.700446835002
"(1, 10, 4)",27.734725,85.311635,90,260.78175801957,25394.623262367975,7249.834991871701
"(1, 11, 3)",27.734875,85.309675,59,193.622677069503,25588.24593943748,7364.941214474672
"(1, 11, 33)",27.73493833,85.30938,30,29.8756226687033,25618.121562106182,7386.3801491843105
"(1, 12, 48)",27.67982333,85.34946833,75,7289.260614760693,32907.38217686687,115.24449535358269
"(1, 13, 48)",27.67982333,85.34946833,60,0.0,32907.38217686687,115.24449535358269
"(1, 14, 47)",27.73503333,85.30578333,59,7495.528194869134,40402.910371736005,7590.166982040974
"(1, 16, 9)",27.67982333,85.34946833,82,7495.528194869134,47898.43856660514,115.24449535358269
"(1, 17, 3)",27.72831667,85.30528333,54,6928.034240905189,54826.47280751033,7018.062631278156
"(1, 18, 3)",27.72667,85.30412667,60,215.60845509400514,55042.08126260433,6947.934335377336
"(1, 19, 2)",27.72534667,85.300265,59,407.5845399926436,55449.665802596974,7089.947490255434
"(1, 20, 2)",27.72437833,85.29680833,60,356.86740834587005,55806.53321094284,7250.996631309354
"(1, 21, 1)",27.723285,85.294565,59,252.06584918763534,56058.59906013048,7327.9002163591595
"(1, 22, 1)",27.72216333,85.292285,60,256.75160155912107,56315.350661689605,7413.277883613531
"(1, 23, 1)",27.720325,85.28845833,60,428.5590232210054,56743.90968491061,7577.002875624763
"(1, 24, 0)",27.71877667,85.28533167,59,352.6510185396207,57096.56070345023,7722.913439053281
"(1, 24, 58)",27.67982333,85.34946833,58,7657.185847318014,64753.74655076824,115.24449535358269
"(1, 25, 52)",27.67982333,85.34946833,54,0.0,64753.74655076824,115.24449535358269
"(1, 27, 21)",27.67982333,85.34946833,89,0.0,64753.74655076824,115.24449535358269
"(1, 28, 21)",27.71083,85.28296667,60,7399.754465812775,72153.50101658102,7454.0984576602195
"(1, 29, 20)",27.70746333,85.28259167,59,376.17241089375466,72529.67342747477,7315.887721024772
"(1, 30, 20)",27.70610167,85.28241,60,152.4622866314535,72682.13571410623,7267.4588499263955
"(1, 31, 19)",27.703915,85.28215167,59,244.47300069431108,72926.60871480055,7192.736782981375
"(1, 32, 19)",27.70184333,85.281915,60,231.53453543908122,73158.14325023963,7128.21844603798
"(1, 33, 19)",27.700295,85.28175333,60,172.90059890762228,73331.04384914726,7083.148036715671
"(1, 34, 18)",27.69858,85.28152,59,192.07791195089334,73523.12176109815,7042.923790877999
"(1, 35, 18)",27.697185,85.28143667,60,155.33372790634783,73678.4554890045,7003.88964306495
"(1, 35, 48)",27.69594,85.28154,30,138.81097979788962,73817.26646880238,6954.963910814991
"(1, 37, 17)",27.68972833,85.283865,89,727.6515483199545,74544.91801712233,6573.150313200322
"(1, 38, 16)",27.689735,85.28388667,59,2.2588700606112777,74547.17688718294,6571.190613204363
"(1, 38, 46)",27.68920333,85.28440333,30,77.9928822925522,74625.1697694755,6510.443024749579
"(1, 41, 16)",27.67982333,85.34946833,150,6490.987429042637,81116.15719851814,115.24449535358269
"(1, 42, 10)",27.67982333,85.34946833,54,0.0,81116.15719851814,115.24449535358269
"(1, 43, 40)",27.68522167,85.29634,90,5265.715254133902,86381.87245265204,5280.03191035814
"(1, 44, 39)",27.68495,85.298195,59,185.1332585136993,86567.00571116574,5094.974827416009
"(1, 45, 39)",27.68486333,85.29898333,60,78.21879782172198,86645.22450898746,5016.761000532183
"(1, 46, 39)",27.684795,85.29934667,60,36.5741651848821,86681.79867417234,4980.288689618992
"(1, 47, 38)",27.68230167,85.30250833,59,416.87292845029685,87098.67160262263,4640.495311345372
"(1, 48, 38)",27.6783,85.30230667,60,445.4082623221495,87544.07986494478,4644.266314407339
"(1, 49, 37)",27.67447167,85.30225333,59,425.72327730595913,87969.80314225075,4673.979784043994
"(1, 50, 37)",27.67226667,85.30378,60,287.60648538071126,88257.40962763147,4557.039476120614
"(1, 51, 36)",27.66995167,85.305645,59,316.2186031299887,88573.62823076146,4425.805182706783
"(1, 52, 36)",27.66717167,85.30784833,60,377.6744872928593,88951.30271805431,4297.1574902015245
"(1, 53, 36)",27.66643833,85.30959333,60,190.21486694809468,89141.51758500241,4159.79796380426
"(1, 54, 35)",27.66521,85.31360333,59,417.8655711831304,89559.38315618553,3840.906919899061
"(1, 55, 35)",27.66262167,85.31694667,60,437.3207849677286,89996.70394115326,3672.5247946861505
"(1, 56, 34)",27.66100833,85.31896833,59,268.0024104079012,90264.70635156117,3595.7091489394325
"(1, 57, 34)",27.65841667,85.32212333,60,423.79183019014107,90688.4981817513,3518.7925096236627
"(1, 59, 3)",27.65804167,85.32289667,89,86.83262405311916,90775.33080580442,3488.294398000544
