time,lat,lon,time_taken,distance,total_distance,from_koteshwor
"(10, 40, 45)",27.658245,85.32352,59,1.606717296425711,122948.97627843512,3427.375709519917
"(10, 41, 45)",27.65824,85.323515,60,0.7427041775720511,122949.71898261269,3428.1133903093078
"(10, 42, 44)",27.65823667,85.32352333,59,0.9001020619738324,122950.61908467466,3427.7487044314244
"(10, 43, 44)",27.65903,85.32494667,60,165.62896365388653,123116.24804832855,3264.5726552911224
"(10, 44, 43)",27.66019,85.32664167,59,210.962695193406,123327.21074352195,3054.3388313405253
"(10, 45, 43)",27.66384333,85.32968833,60,505.0300876722388,123832.24083119418,2560.2674464953175
"(10, 46, 43)",27.66450333,85.330195,60,88.74554641027122,123920.98637760445,2474.7846180675283
"(10, 47, 42)",27.66570667,85.33119667,59,166.23817416231182,124087.22455176676,2313.590498875628
"(10, 48, 42)",27.66633333,85.331725,60,86.9638955066419,124174.18844727341,2229.4230817348066
"(10, 49, 41)",27.66706167,85.332355,59,102.02142474759242,124276.209872021,2130.6393289908638
"(10, 50, 41)",27.66788667,85.33349833,60,145.23526029304108,124421.44513231405,1985.4531898894988
"(10, 51, 40)",27.67028333,85.33794833,59,512.9013954835888,124934.34652779764,1476.7504755078153
"(10, 52, 40)",27.67154667,85.34009833,60,254.090447239663,125188.4369750373,1224.484125143585
"(10, 53, 39)",27.673565,85.34215167,59,302.0839598468216,125490.52093488412,925.2765279602197
"(10, 54, 39)",27.674195,85.34281833,60,96.0063381608262,125586.52727304494,830.3089270258131
"(10, 56, 8)",27.67770167,85.34751,89,604.5553126715794,126191.08258571652,227.4092893217406
"(10, 57, 8)",27.67769667,85.34754167,60,3.167760194642475,126194.25034591116,225.07107302419874
"(10, 58, 8)",27.67840333,85.348595,60,130.1257488017383,126324.3760947129,95.91508895320531
"(10, 59, 7)",27.67867833,85.34901,59,51.039443530485165,126375.4155382434,46.634448365001056
"(11, 0, 7)",27.68027667,85.34942333,60,182.32806945881504,126557.74360770221,165.71050605746714
"(11, 1, 6)",27.68055833,85.349445,59,31.39176913484865,126589.13537683706,196.98512752839187
"(11, 2, 6)",27.68292167,85.34928667,60,263.2534707521105,126852.38884758917,460.10859855698004
"(11, 3, 5)",27.68369,85.34907667,59,87.90115565935363,126940.29000324852,546.5547102430247
"(11, 4, 5)",27.68605833,85.34978167,60,272.34186280535295,127212.63186605387,809.1366408525097
"(11, 5, 5)",27.68735333,85.35049333,60,160.14180263768571,127372.77366869156,957.8835761608108
"(11, 6, 4)",27.68811333,85.35098,59,97.14847007132207,127469.92213876288,1047.6905397693474
"(11, 7, 4)",27.69202,85.35319,60,485.85338011646326,127955.77551887934,1516.417889512533
"(11, 8, 3)",27.694895,85.354845,59,358.81801735751844,128314.59353623686,1867.762145665659
"(11, 9, 3)",27.69569167,85.35501333,60,90.12260810612462,128404.71614434298,1957.4334021216005
"(11, 10, 2)",27.69866167,85.35502167,59,330.24995289815774,128734.96609724114,2276.6318365006478
"(11, 11, 2)",27.701205,85.3532,60,334.8788207879158,129069.84491802905,2519.722884747175
"(11, 12, 2)",27.70131167,85.35308333,60,16.511192436573033,129086.35611046563,2529.81560707564
"(11, 13, 1)",27.70268833,85.35217833,59,177.11857403596971,129263.47468450159,2671.0858133368915
"(11, 14, 1)",27.70619833,85.35032333,60,430.905449850936,129694.38013435253,3049.1753368037907
"(11, 15, 0)",27.70607,85.34934833,59,97.03950973749966,129791.41964409003,3033.7636743792063
"(11, 16, 30)",27.70636333,85.34528833,90,401.01806725988206,130192.4377113499,3093.8414879408297
"(11, 17, 29)",27.70658167,85.34496833,59,39.77242680412897,130232.21013815404,3122.2198142476204
"(11, 18, 29)",27.70667167,85.34479,60,20.207802907872967,130252.41794106191,3134.6578134101305
"(11, 19, 28)",27.706785,85.34469333,59,15.791482522089174,130268.209423584,3148.530173295526
"(11, 20, 28)",27.70681167,85.34468833,60,3.0061410220308042,130271.21556460604,3151.535993806505
"(11, 21, 27)",27.70750833,85.34386333,59,112.23650173548421,130383.45206634153,3240.989461601586
"(11, 22, 27)",27.70887667,85.34376833,60,152.43961413611046,130535.89168047764,3392.5535827498275
"(11, 23, 27)",27.709565,85.34396333,60,78.90937454265806,130614.8010550203,3465.0065408579926
"(11, 24, 26)",27.70996,85.34404333,59,44.62245648965713,130659.42351150996,3507.1866302832773
"(11, 25, 26)",27.711155,85.34453333,60,141.36230835714363,130800.7858198671,3631.8037317578783
"(11, 26, 25)",27.71217,85.34502667,59,122.8680560760053,130923.65387594311,3737.6899870070583
"(11, 27, 25)",27.71239167,85.34515333,60,27.622714378180437,130951.2765903213,3760.7415693005278
"(11, 28, 24)",27.71274167,85.34528667,59,41.07212653580253,130992.3487168571,3797.9680359388844
"(11, 29, 40)",27.71396,85.34555667,76,138.05475554978094,131130.40347240688,3929.975964872069
"(11, 30, 10)",27.714265,85.34562667,30,34.607395423297476,131165.01086783016,3963.065069124058
"(11, 31, 39)",27.71431,85.34565833,89,5.894970169908411,131170.90583800006,3967.7502001333605
"(11, 32, 39)",27.71454,85.34568167,60,25.677827423671825,131196.58366542374,3992.9960787184677
"(11, 33, 39)",27.71498833,85.34580167,60,51.232416450057755,131247.81608187378,4041.5608898392707
"(11, 34, 38)",27.71560333,85.34605,59,72.62264645860849,131320.4387283324,4107.6021103116855
"(11, 35, 38)",27.71636833,85.34629833,60,88.50680053924773,131408.94552887164,4190.494795009966
"(11, 36, 37)",27.71714,85.34648667,59,87.78579185476,131496.7313207264,4274.75411454384
"(11, 37, 37)",27.71731667,85.346515,60,19.841754694035732,131516.57307542043,4294.163066506145
"(11, 38, 37)",27.71734333,85.34651833,60,2.9825241862194227,131519.55559960665,4297.0985613223465
